tiime;x;y;fx;fy
63;120;-120;0;0
126;120;-118;0;122
189;120;-116;0;122
252;120;-114;0;122
315;120;-113;0;122
378;120;-109;0;258
441;120;-105;0;258
504;120;-100;0;258
567;120;-95;0;258
630;120;-86;0;258
693;120;-81;0;258
756;120;-77;0;237
819;120;-74;0;237
882;120;-67;0;237
945;120;-64;0;237
1008;120;-61;0;237
1071;120;-57;0;229
1134;120;-51;0;229
1197;120;-47;0;229
1260;120;-44;0;229
1323;120;-41;0;229
1386;120;-34;0;220
1449;120;-31;0;220
1512;120;-28;0;220
1575;120;-24;0;220
1638;120;-18;0;162
1701;120;-16;0;162
1764;120;-13;0;162
1827;120;-11;0;162
1890;120;-6;0;162
1953;120;-4;0;69
2016;120;-4;0;69
2079;120;-4;0;69
2142;120;-4;0;69
2205;120;-4;0;69
2268;120;-4;0;70
2331;120;-4;0;70
2394;120;-4;0;70
2457;120;-4;0;70
2520;120;-4;0;70
2583;120;-1;0;168
2646;120;0;0;168
2709;120;3;0;168
2772;120;5;0;168
2835;120;10;0;168
2898;120;13;0;230
2961;120;17;0;230
3024;120;20;0;230
3087;120;27;0;230
3150;120;30;0;230
3213;120;33;0;200
3276;120;36;0;200
3339;120;43;0;200
3402;120;46;0;200
3465;120;49;0;200
3528;120;52;0;143
3591;120;56;0;143
3654;120;58;0;143
3717;120;60;0;143
3780;120;62;0;143
3843;120;67;0;188
3906;120;69;0;188
3969;120;72;0;188
4032;120;74;0;188
4095;120;79;0;135
4158;120;81;0;135
4221;120;83;0;135
4284;120;85;0;135
4347;120;89;0;135
4410;120;91;0;174
4473;120;94;0;174
4536;120;96;0;174
4599;120;101;0;174
4662;120;104;0;174
4725;120;106;0;142
4788;120;108;0;142
4851;120;112;0;142
4914;120;114;0;142
4977;120;116;0;142
5040;120;118;0;142
5103;120;119;0;58
5166;120;119;0;58
5229;120;119;0;58
5292;120;119;0;58
5355;120;119;0;0
5418;120;119;0;0
5481;120;119;0;0
5544;120;119;0;0
5607;120;119;0;-55
5670;120;119;0;-55
5733;120;119;0;-55
5796;120;119;0;-55
5859;120;119;0;-55
5922;120;119;0;-223
5985;120;112;-36;-223
6048;120;109;-36;-223
6111;120;105;-36;-223
6174;120;102;-36;-223
6237;120;94;-36;-264
6300;120;89;-77;-264
6363;120;84;-77;-264
6426;120;80;-77;-264
6489;120;70;-77;-264
6552;120;67;-77;-161
6615;120;64;-77;-161
6678;116;62;-257;-161
6741;106;57;-257;-161
6804;102;55;-257;-161
6867;98;54;-257;0
6930;94;54;-257;0
6993;86;54;-516;0
7056;82;54;-516;0
7119;78;54;-516;0
7182;75;54;-516;-36
7245;67;54;-516;-36
7308;63;54;-366;-36
7371;59;54;-366;-36
7434;56;54;-366;-36
7497;49;50;-366;-194
7560;45;47;-366;-194
7623;42;44;-206;-194
7686;38;40;-206;-194
7749;32;34;-206;-388
7812;29;30;-206;-388
7875;25;27;-206;-388
7938;19;20;-203;-388
8001;15;16;-203;-388
8064;12;13;-203;-371
8127;9;10;-203;-371
8190;2;3;-164;-371
8253;0;-1;-164;-371
8316;-1;-5;-164;-371
8379;-4;-9;-164;-425
8442;-8;-18;-164;-425
8505;-10;-23;-172;-425
8568;-13;-27;-172;-425
8631;-15;-31;-172;-425
8694;-17;-36;-172;-425
8757;-22;-45;-172;-302
8820;-24;-49;-172;-302
8883;-27;-53;-203;-302
8946;-30;-56;-203;-302
9009;-37;-62;-203;-155
9072;-40;-64;-203;-155
9135;-43;-66;-203;-155
9198;-47;-69;-243;-155
9261;-55;-73;-243;-155
9324;-59;-74;-243;-126
9387;-62;-76;-243;-126
9450;-66;-78;-243;-126
9513;-72;-81;-191;-126
9576;-74;-83;-191;-126
9639;-77;-85;-191;-159
9702;-82;-90;-191;-159
9765;-85;-92;-120;-159
9828;-86;-95;-120;-159
9891;-88;-97;-120;-159
9954;-90;-99;-120;-167
10017;-93;-104;-120;-167
10080;-95;-107;-120;-167
10143;-96;-109;-100;-167
10206;-96;-112;-100;-167
10269;-96;-116;-100;-135
10332;-96;-118;-100;-135
10395;-96;-120;-100;-135
10458;-96;-122;-148;-135
10521;-100;-126;-148;-67
10584;-102;-126;-148;-67
10647;-104;-126;-148;-67
10710;-106;-126;-148;-67
10773;-108;-126;-102;-67
10836;-108;-126;-102;-67
10899;-108;-126;-102;0
10962;-108;-126;-102;0
11025;-108;-126;-102;0
11088;-108;-126;-64;0
11151;-108;-126;-64;0
11214;-108;-126;-64;0
11277;-108;-126;-64;0
11340;-108;-126;-64;0
11403;-108;-126;-47;0
11466;-108;-126;-47;0
11529;-108;-126;-47;0
11592;-108;-126;-47;0
11655;-108;-126;-47;0
11718;-108;-126;-43;0
11781;-108;-126;-43;0
11844;-108;-126;-43;0
11907;-108;-126;-43;0
11970;-108;-126;-43;0
12033;-108;-126;-34;0
12096;-108;-126;-34;0
12159;-108;-126;-34;0
12222;-108;-126;-34;0
12285;-108;-126;0;0
12348;-108;-126;0;0
12411;-108;-126;40;0
12474;-108;-126;40;0
12537;-108;-126;40;0
12600;-108;-126;40;0
12663;-108;-126;40;-31
12726;-105;-126;200;-31
12789;-102;-126;200;-31
12852;-96;-126;200;-31
12915;-93;-126;200;-31
12978;-89;-126;200;-39
13041;-85;-126;248;-39
13104;-76;-126;248;-39
13167;-71;-126;248;-39
13230;-66;-126;248;-39
13293;-61;-126;248;0
13356;-59;-126;50;0
13419;-59;-126;50;0
13482;-59;-126;50;0
13545;-59;-126;50;0
13608;-58;-126;159;0
13671;-56;-126;159;0
13734;-53;-126;159;0
13797;-51;-126;159;0
13860;-46;-126;159;-30
13923;-43;-126;373;-30
13986;-39;-126;373;-30
14049;-36;-126;373;-30
14112;-28;-126;373;-30
14175;-25;-126;373;-52
14238;-21;-126;503;-52
14301;-17;-126;503;-52
14364;-10;-126;503;-52
14427;-6;-126;503;-52
14490;-3;-126;503;-60
14553;0;-126;590;-60
14616;7;-126;590;-60
14679;11;-126;590;-60
14742;18;-126;590;-60
14805;22;-126;590;-80
14868;25;-126;595;-80
14931;29;-126;595;-80
14994;32;-126;595;-80
15057;36;-126;595;-80
15120;43;-126;595;-83
15183;47;-126;533;-83
15246;51;-126;533;-83
15309;58;-126;533;-83
15372;62;-126;533;-83
15435;65;-126;533;-88
15498;69;-126;471;-88
15561;76;-126;471;-88
15624;80;-126;471;-88
15687;83;-126;471;-88
15750;87;-126;471;-99
15813;94;-126;451;-99
15876;98;-126;451;-99
15939;102;-126;451;-99
16002;105;-126;451;-99
16065;109;-126;451;-100
16128;116;-126;357;-100
16191;120;-126;357;-100
16254;123;-126;357;-100
16317;131;-126;357;-74
16380;134;-126;205;-74
16443;138;-126;205;-74
16506;141;-126;205;-74
16569;144;-126;205;-74
16632;150;-126;205;0
16695;154;-126;0;0
16758;154;-126;0;0
16821;154;-126;0;0
16884;154;-126;0;0
16947;154;-126;0;0
17010;154;-126;0;0
17073;154;-126;0;0
17136;154;-126;0;0
17199;154;-126;0;0
17262;154;-126;0;0
17325;154;-126;0;0
17388;154;-126;0;0
17451;154;-126;0;0
17514;154;-126;0;0
17577;154;-126;0;0
17640;154;-126;0;0
17703;154;-124;0;194
17766;154;-121;-38;194
17829;154;-115;-38;194
17892;154;-111;-38;194
17955;154;-108;-38;194
18018;154;-105;-38;172
18081;151;-100;-129;172
18144;150;-98;-129;172
18207;148;-95;-129;172
18270;146;-93;-129;172
18333;142;-91;-357;0
18396;139;-91;-357;0
18459;135;-91;-357;0
18522;131;-91;-357;-129
18585;124;-95;-357;-129
18648;120;-97;-464;-129
18711;117;-98;-464;-129
18774;113;-100;-464;-129
18837;106;-102;-464;0
18900;102;-102;-464;58
18963;98;-102;-424;58
19026;95;-102;-424;58
19089;87;-102;-424;58
19152;83;-102;-424;58
19215;79;-102;-424;58
19278;75;-98;-424;398
19341;67;-91;-250;398
19404;64;-87;-250;398
19467;61;-84;-250;398
19530;57;-80;-250;398
19593;53;-76;-250;236
19656;44;-67;-233;236
19719;40;-63;-233;236
19782;31;-54;-233;236
19845;31;-54;-233;236
19908;24;-52;-141;0
19971;22;-52;-141;0
20034;20;-52;-141;0
20097;18;-52;-141;-45
20160;14;-52;-141;-45
20223;13;-52;-55;-45
20286;13;-52;-55;-45
20349;13;-52;-55;-45
20412;13;-52;-55;0
20475;13;-52;-55;0
20538;13;-52;-31;0
20601;13;-52;-31;0
20664;13;-52;-31;0
20727;13;-52;-31;0
20790;13;-52;-31;147
20853;13;-48;-75;147
20916;13;-48;-75;147
20979;13;-44;-75;147
21042;13;-42;-75;147
21105;13;-40;-75;376
21168;11;-32;-133;376
21231;9;-29;-133;376
21294;8;-25;-133;376
21357;4;-18;-133;376
21420;2;-16;-133;118
21483;0;-15;-179;118
21546;-2;-13;-179;118
21609;-7;-10;-179;118
21672;-9;-9;-179;118
21735;-12;-8;-179;79
21798;-14;-8;-135;79
21861;-16;-8;-135;79
21924;-20;-8;-135;79
