x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-116
120;-115
120;-113
120;-111
120;-106
120;-104
120;-103
120;-101
120;-97
120;-95
120;-93
120;-91
120;-87
120;-86
120;-84
120;-82
120;-82
120;-82
120;-82
120;-82
120;-82
120;-82
120;-82
120;-82
120;-82
120;-81
120;-79
120;-78
120;-74
120;-73
120;-70
120;-67
120;-60
120;-57
120;-54
120;-50
120;-44
120;-41
120;-37
120;-34
120;-29
120;-27
120;-25
120;-23
120;-19
120;-19
120;-19
120;-19
120;-19
120;-19
120;-17
120;-14
120;-10
120;-7
120;-5
120;-2
120;2
120;5
120;7
120;10
120;14
120;16
120;18
120;20
120;22
120;25
120;27
120;29
120;30
120;34
120;35
120;37
120;38
120;41
120;43
120;44
120;48
120;49
120;51
120;53
120;56
120;58
120;60
120;62
120;66
120;66
120;66
120;66
120;66
120;66
120;66
120;66
120;66
120;66
120;66
120;66
120;66
120;66
120;66
120;66
120;67
120;71
120;72
120;74
120;76
120;80
120;82
120;84
120;86
120;90
120;91
120;93
120;94
120;97
120;99
120;100
120;102
120;106
120;107
120;109
120;111
120;115
120;117
120;119
120;121
120;125
120;127
120;129
120;130
120;130
120;130
120;130
120;130
120;130
120;130
