;time;x;y;fx;fy
;63;120;-120;0;0
;126;120;-120;0;0
;189;120;-120;0;0
;252;120;-120;0;0
;315;120;-120;0;29
;378;120;-120;0;29
;441;120;-120;0;29
;504;120;-120;0;29
;567;120;-120;0;29
;630;120;-120;0;29
;693;120;-120;0;153
;756;120;-118;0;153
;819;120;-114;0;153
;882;120;-111;0;153
;945;120;-109;0;153
;1008;120;-103;0;275
;1071;120;-98;0;275
;1134;120;-93;0;275
;1197;120;-89;0;275
;1260;120;-79;0;275
;1323;120;-75;0;269
;1386;120;-70;0;269
;1449;120;-65;0;269
;1512;120;-60;0;269
;1575;120;-51;0;269
;1638;120;-46;0;258
;1701;120;-41;0;258
;1764;120;-37;0;258
;1827;120;-27;0;258
;1890;120;-22;0;258
;1953;120;-18;0;235
;2016;120;-12;0;235
;2079;120;-8;0;235
;2142;120;-5;0;235
;2205;120;-2;0;235
;2268;120;4;0;215
;2331;120;7;0;215
;2394;120;11;0;215
;2457;120;14;0;215
;2520;120;21;0;213
;2583;120;24;0;213
;2646;120;27;0;213
;2709;120;30;0;213
;2772;120;37;0;213
;2835;120;40;0;200
;2898;120;43;0;200
;2961;120;47;0;200
;3024;120;53;0;200
;3087;120;56;0;200
;3150;120;60;0;200
;3213;120;61;0;115
;3276;120;64;0;115
;3339;120;66;0;115
;3402;120;67;0;115
;3465;120;69;0;115
;3528;120;69;0;33
;3591;120;69;0;33
;3654;120;69;0;33
;3717;120;69;0;33
;3780;120;71;0;229
;3843;120;74;0;229
;3906;120;77;0;229
;3969;120;81;0;229
;4032;120;87;0;229
;4095;120;91;0;240
;4158;120;94;0;240
;4221;120;98;0;240
;4284;120;105;0;240
;4347;120;109;0;240
;4410;120;112;0;155
;4473;120;114;0;155
;4536;120;119;0;155
;4599;120;121;0;155
;4662;120;123;0;155
;4725;120;125;0;155
;4788;120;127;0;0
;4851;120;127;0;0
;4914;120;127;0;0
;4977;120;127;0;0
;5040;120;127;0;0
;5103;120;127;0;0
;5166;120;127;0;0
;5229;120;127;0;0
;5292;120;127;0;0
;5355;120;127;0;0
;5418;120;127;0;0
;5481;120;127;0;0
;5544;120;127;0;0
;5607;120;127;0;0
;5670;120;127;-26;0
;5733;120;127;-26;0
;5796;120;127;-26;-37
;5859;120;127;-26;-37
;5922;120;127;-26;-37
;5985;120;127;-104;-37
;6048;120;126;-104;-119
;6111;120;125;-104;-119
;6174;120;123;-104;-119
;6237;120;122;-104;-119
;6300;115;119;-213;-119
;6363;112;117;-213;-119
;6426;108;115;-213;-119
;6489;105;114;-213;-119
;6552;98;111;-259;-119
;6615;93;109;-259;-119
;6678;89;108;-259;-109
;6741;85;108;-259;-109
;6804;77;108;-259;-109
;6867;73;108;-207;-109
;6930;70;108;-207;-109
;6993;67;108;-207;-223
;7056;61;101;-207;-223
;7119;58;98;-207;-223
;7182;55;95;-146;-223
;7245;53;92;-146;-223
;7308;48;84;-146;-342
;7371;46;79;-146;-342
;7434;44;75;-146;-342
;7497;42;71;-146;-342
;7560;37;62;-163;-342
;7623;35;58;-163;-216
;7686;32;55;-163;-216
;7749;30;52;-163;-216
;7812;25;45;-167;-216
;7875;23;42;-167;-216
;7938;20;39;-167;-198
;8001;18;36;-167;-198
;8064;13;30;-167;-198
;8127;10;27;-175;-198
;8190;8;24;-175;-198
;8253;5;21;-175;-183
;8316;0;16;-175;-183
;8379;-1;14;-175;-183
;8442;-4;11;-152;-183
;8505;-6;9;-152;-183
;8568;-10;2;-152;-223
;8631;-12;0;-152;-223
;8694;-14;-3;-152;-223
;8757;-18;-10;-136;-223
;8820;-20;-13;-136;-187
;8883;-22;-16;-136;-187
;8946;-24;-18;-136;-187
;9009;-28;-24;-123;-187
;9072;-30;-26;-123;-187
;9135;-31;-29;-123;-166
;9198;-33;-31;-123;-166
;9261;-36;-36;-123;-166
;9324;-38;-39;-125;-166
;9387;-40;-41;-125;-166
;9450;-42;-44;-125;-175
;9513;-43;-47;-125;-175
;9576;-47;-52;-125;-175
;9639;-48;-54;-125;-175
;9702;-49;-57;-107;-175
;9765;-49;-59;-107;-175
;9828;-49;-66;-107;-213
;9891;-49;-69;-107;-213
;9954;-49;-72;-107;-213
;10017;-49;-76;-108;-213
;10080;-49;-79;-108;-213
;10143;-49;-85;-108;-184
;10206;-49;-87;-108;-184
;10269;-49;-90;-108;-184
;10332;-54;-95;-213;-184
;10395;-57;-96;-213;-72
;10458;-61;-96;-213;-72
;10521;-65;-96;-213;-72
;10584;-69;-96;-213;-72
;10647;-76;-96;-287;-72
;10710;-80;-96;-287;-67
;10773;-84;-96;-287;-67
;10836;-88;-96;-287;-67
;10899;-96;-96;-273;-67
;10962;-101;-96;-273;-67
;11025;-106;-96;-273;-151
;11088;-116;-100;-273;-151
;11151;-121;-102;-273;-151
;11214;-125;-104;-63;-151
;11277;-125;-106;-63;-151
;11340;-125;-112;-63;-376
;11403;-125;-116;-63;-376
;11466;-125;-120;-63;-376
;11529;-125;-123;-74;-376
;11592;-125;-127;-74;-376
;11655;-125;-130;-74;-89
;11718;-125;-130;-74;-89
;11781;-125;-130;-74;-89
;11844;-125;-130;-74;-89
;11907;-125;-130;-33;-89
;11970;-125;-130;-33;0
;12033;-125;-130;-33;0
;12096;-125;-130;-33;0
;12159;-125;-130;-26;0
;12222;-125;-130;-26;0
;12285;-125;-130;-26;0
;12348;-125;-130;-26;0
;12411;-125;-130;-26;0
;12474;-125;-130;0;0
;12537;-125;-130;0;0
;12600;-125;-130;0;0
;12663;-125;-130;0;0
;12726;-125;-130;0;0
;12789;-125;-130;0;0
;12852;-124;-130;126;-54
;12915;-123;-130;126;-54
;12978;-121;-130;126;-54
;13041;-119;-130;126;-54
;13104;-117;-130;126;-54
;13167;-114;-130;228;-59
;13230;-110;-130;228;-59
;13293;-107;-130;228;-59
;13356;-104;-130;228;-59
;13419;-97;-130;228;-59
;13482;-93;-130;243;-54
;13545;-89;-130;243;-54
;13608;-84;-130;243;-54
;13671;-75;-130;243;-54
;13734;-70;-130;243;-54
;13797;-66;-130;257;-52
;13860;-56;-130;257;-52
;13923;-51;-130;257;-52
;13986;-47;-130;257;-52
;14049;-42;-130;257;-52
;14112;-37;-130;257;-52
;14175;-28;-130;260;-47
;14238;-23;-130;260;-47
;14301;-18;-130;260;-47
;14364;-14;-130;260;-47
;14427;-4;-130;258;-47
;14490;0;-130;258;-47
;14553;4;-130;258;-47
;14616;9;-130;258;-47
;14679;18;-130;258;-47
;14742;23;-130;253;-54
;14805;28;-130;253;-54
;14868;37;-130;253;-54
;14931;42;-130;253;-54
;14994;47;-130;253;-54
;15057;50;-130;196;-54
;15120;57;-130;196;-54
;15183;60;-130;196;-54
;15246;63;-130;196;-54
;15309;67;-130;196;-54
;15372;71;-130;142;-47
;15435;73;-130;142;-47
;15498;75;-130;142;-47
;15561;77;-130;142;-47
;15624;81;-130;103;-41
;15687;81;-130;103;-41
;15750;81;-130;103;-41
;15813;81;-130;103;-41
;15876;81;-130;103;-41
;15939;81;-130;114;-47
;16002;83;-130;114;-47
;16065;84;-130;114;-47
;16128;87;-130;114;-47
;16191;89;-130;114;-47
;16254;90;-130;114;-47
;16317;92;-130;154;-64
;16380;97;-130;154;-64
;16443;99;-130;154;-64
;16506;101;-130;154;-64
;16569;105;-130;137;-53
;16632;105;-130;137;-53
;16695;109;-130;137;-53
;16758;111;-130;137;-53
;16821;113;-130;137;-53
;16884;117;-130;124;-46
;16947;119;-130;124;-46
;17010;120;-130;124;-46
;17073;124;-130;124;-46
;17136;125;-130;124;-46
;17199;126;-130;91;-37
;17262;126;-130;91;-37
;17325;126;-130;91;-37
;17388;126;-130;91;-37
;17451;126;-130;91;-37
;17514;126;-130;32;0
;17577;126;-130;32;0
;17640;126;-130;32;0
;17703;126;-130;32;0
;17766;126;-130;32;0
;17829;126;-130;0;0
;17892;126;-130;0;0
;17955;126;-130;0;0
;18018;126;-130;0;0
;18081;126;-130;0;0
;18144;126;-129;0;137
;18207;126;-127;0;137
;18270;126;-125;0;137
;18333;126;-121;-60;137
;18396;126;-119;-60;137
;18459;126;-117;-60;137
;18522;126;-114;-60;302
;18585;126;-110;-60;302
;18648;124;-102;-170;302
;18711;122;-98;-170;302
;18774;120;-93;-170;302
;18837;115;-87;-170;93
;18900;113;-87;-170;93
;18963;110;-87;-466;93
;19026;106;-87;-466;93
;19089;98;-87;-466;93
;19152;94;-85;-466;328
;19215;89;-80;-466;328
;19278;84;-75;-449;328
;19341;79;-70;-449;328
;19404;70;-61;-449;328
;19467;65;-56;-449;411
;19530;60;-51;-449;411
;19593;56;-46;-449;411
;19656;46;-37;-349;411
;19719;41;-32;-349;411
;19782;37;-28;-349;261
;19845;33;-24;-349;261
;19908;26;-18;-321;261
;19971;23;-14;-321;261
;20034;20;-11;-321;261
;20097;10;-2;-321;282
;20160;4;3;-321;282
;20223;-1;9;-288;282
;20286;-6;15;-288;282
;20349;-18;26;-288;213
;20412;-21;29;-288;213
;20475;-25;33;-288;213
;20538;-28;36;-288;213
;20601;-35;42;-233;213
;20664;-38;46;-233;213
;20727;-41;49;-233;227
;20790;-45;52;-233;227
;20853;-51;59;-194;227
;20916;-54;62;-194;227
;20979;-57;65;-194;227
;21042;-61;68;-194;196
;21105;-64;71;-194;196
;21168;-70;78;-195;196
;21231;-73;81;-195;196
;21294;-77;84;-195;196
;21357;-83;88;-195;137
;21420;-86;90;-195;137
;21483;-89;92;-191;137
;21546;-92;94;-191;137
;21609;-95;96;-191;137
;21672;-101;98;-191;85
;21735;-104;98;-191;85
;21798;-107;98;-135;85
;21861;-110;98;-135;85
;21924;-112;98;-135;102
;21987;-114;98;-135;102
;22050;-116;98;-135;102
;22113;-118;98;-135;102
;22176;-122;98;-129;102
;22239;-124;98;-129;163
;22302;-125;100;-129;163
;22365;-129;105;-129;163
;22428;-130;107;-72;163
;22491;-130;110;-72;163
;22554;-130;112;-72;155
;22617;-130;116;-72;155
;22680;-130;119;-72;155
;22743;-130;121;-36;155
;22806;-130;123;-36;155
;22869;-130;125;-36;61
;22932;-130;125;-36;61
;22995;-130;125;-36;61
;23058;-130;125;-36;61
;23121;-130;125;0;61
;23184;-130;125;0;0
;23247;-130;125;0;0
;23310;-130;125;0;0
;23373;-130;125;0;0
;23436;-130;125;0;0
;23499;-130;125;0;0
;23562;-130;125;0;0
;23625;-130;125;0;0
;23688;-130;124;0;-116
;23751;-130;123;0;-116
;23814;-130;121;0;-116
;23877;-130;118;0;-116
;23940;-130;117;0;-116
;24003;-130;115;0;-200
;24066;-130;111;0;-200
;24129;-130;108;0;-200
;24192;-130;102;0;-200
;24255;-130;98;0;-200
;24318;-130;95;0;-185
;24381;-130;92;0;-185
;24444;-130;87;0;-185
;24507;-130;85;0;-185
;24570;-130;82;0;-185
;24633;-130;79;0;-200
;24696;-130;73;0;-200
;24759;-130;70;0;-200
;24822;-130;66;0;-200
;24885;-130;60;0;-210
;24948;-130;56;0;-210
;25011;-130;53;0;-210
;25074;-130;50;0;-210
;25137;-130;46;0;-210
;25200;-130;40;0;-210
;25263;-130;36;0;-200
;25326;-130;33;0;-200
;25389;-130;27;0;-200
;25452;-130;23;0;-200
;25515;-130;20;0;-200
;25578;-130;17;0;-184
;25641;-130;15;0;-184
;25704;-130;9;0;-184
;25767;-130;7;0;-184
;25830;-130;4;0;-184
;25893;-130;2;0;-190
;25956;-130;-3;0;-190
;26019;-130;-6;0;-190
;26082;-130;-8;0;-190
;26145;-130;-11;0;-190
;26208;-130;-17;0;-212
;26271;-130;-21;0;-212
;26334;-130;-24;0;-212
;26397;-130;-31;0;-212
;26460;-130;-34;0;-226
;26523;-130;-37;0;-226
;26586;-130;-41;0;-226
;26649;-130;-44;0;-226
;26712;-130;-51;0;-226
;26775;-130;-54;0;-225
;26838;-130;-57;0;-225
;26901;-130;-64;0;-225
;26964;-130;-67;0;-225
;27027;-130;-71;0;-225
;27090;-130;-74;0;-215
;27153;-130;-78;0;-215
;27216;-130;-84;0;-215
;27279;-130;-88;0;-215
;27342;-130;-91;0;-215
;27405;-130;-97;29;-190
;27468;-130;-100;29;-190
;27531;-130;-103;29;-190
;27594;-130;-105;29;-190
;27657;-130;-111;29;-190
;27720;-130;-111;29;-190
;27783;-130;-116;37;-181
;27846;-130;-118;37;-181
;27909;-130;-124;37;-181
;27972;-130;-126;37;-181
;28035;-130;-128;26;-125
;28098;-130;-130;26;-125
;28161;-130;-130;26;-125
;28224;-130;-130;26;-125
;28287;-130;-130;26;-125
;28350;-130;-130;0;-88
;28413;-130;-130;0;-88
;28476;-130;-130;0;-88
;28539;-130;-130;0;-88
;28602;-130;-130;0;-88
;28665;-130;-130;55;-83
;28728;-130;-130;55;-83
;28791;-130;-130;55;-83
;28854;-130;-130;55;-83
;28917;-130;-130;55;-83
;28980;-127;-130;217;-107
;29043;-124;-130;217;-107
;29106;-120;-130;217;-107
;29169;-117;-130;217;-107
;29232;-111;-130;374;-134
;29295;-107;-130;374;-134
;29358;-104;-130;374;-134
;29421;-97;-130;374;-134
;29484;-93;-130;374;-134
;29547;-89;-130;374;-134
;29610;-86;-130;387;-130
;29673;-79;-130;387;-130
;29736;-75;-130;387;-130
;29799;-71;-130;387;-130
;29862;-68;-130;387;-130
;29925;-64;-130;403;-139
;29988;-57;-130;403;-139
;30051;-53;-130;403;-139
;30114;-50;-130;403;-139
;30177;-46;-130;403;-139
;30240;-42;-130;398;-135
;30303;-35;-130;398;-135
;30366;-28;-130;398;-135
;30429;-28;-130;398;-135
;30492;-21;-130;364;-116
;30555;-17;-130;364;-116
;30618;-14;-130;364;-116
;30681;-10;-130;364;-116
;30744;-3;-130;364;-116
;30807;0;-130;354;-112
;30870;7;-130;354;-112
;30933;7;-130;354;-112
;30996;14;-130;354;-112
;31059;18;-130;354;-112
;31122;25;-130;345;-117
;31185;29;-130;345;-117
;31248;29;-130;345;-117
;31311;36;-130;345;-117
;31374;39;-130;345;-117
;31437;43;-130;334;-119
;31500;47;-130;334;-119
;31563;54;-130;334;-119
;31626;57;-130;334;-119
;31689;64;-130;334;-119
;31752;68;-130;316;-118
;31815;72;-130;316;-118
;31878;75;-130;316;-118
;31941;82;-130;316;-118
;32004;86;-130;316;-118
;32067;90;-130;297;-127
;32130;93;-130;297;-127
;32193;97;-130;297;-127
;32256;104;-130;297;-127
;32319;108;-130;297;-127
;32382;112;-130;266;-127
;32445;116;-130;266;-120
;32508;126;-130;266;-120
;32571;130;-130;266;-120
;32634;139;-130;177;-120
;32697;141;-130;177;-120
;32760;144;-130;177;-81
;32823;146;-130;177;-81
;32886;149;-130;177;-81
;32949;151;-130;177;-81
;33012;153;-130;76;-81
;33075;153;-130;76;-28
;33138;153;-130;76;-28
;33201;153;-130;76;-28
;33264;153;-130;0;-28
;33327;153;-130;0;-28
;33390;153;-130;0;0
;33453;153;-130;0;0
;33516;153;-130;0;0
;33579;153;-130;0;0
;33642;153;-130;0;0
;33705;153;-130;-44;0
;33768;153;-130;-44;0
;33831;153;-128;-44;129
;33894;153;-125;-44;129
;33957;153;-123;-44;129
;34020;150;-121;-292;129
;34083;147;-120;-292;129
;34146;143;-117;-292;209
;34209;140;-113;-292;209
;34272;133;-107;-292;209
;34335;129;-103;-456;209
;34398;126;-100;-456;209
;34461;117;-95;-456;161
;34524;113;-93;-456;161
;34587;109;-91;-456;161
;34650;104;-88;-453;161
;34713;100;-86;-453;161
;34776;91;-78;-453;316
;34839;86;-74;-453;316
;34902;81;-69;-453;316
;34965;76;-64;-373;316
;35028;67;-55;-373;231
;35091;64;-52;-373;231
;35154;60;-48;-373;231
;35217;53;-42;-373;231
;35280;50;-38;-356;231
;35343;46;-35;-356;228
