x;y
-135;130
-135;130
-135;130
-135;129
-135;126
-135;122
-135;121
-135;116
-135;113
-135;112
-135;112
-135;112
-134;112
-131;112
-130;112
-128;112
-128;112
-128;112
-128;112
-128;112
-128;112
-128;112
-128;112
-126;112
-124;112
-121;112
-120;112
-120;110
-120;108
-117;103
-115;100
-111;95
-109;91
-105;87
-100;83
-99;83
-95;83
-93;83
-88;83
-85;83
-81;83
-79;80
-76;75
-73;71
-70;67
-67;64
-62;60
-59;57
-54;55
-48;55
-47;55
-44;53
-42;52
-40;51
-36;48
-31;43
-28;40
-25;37
-24;35
-21;31
-16;25
-12;22
-10;21
-7;19
-4;19
0;19
1;19
3;19
5;19
9;19
14;19
18;19
22;17
26;15
28;14
33;10
39;6
41;4
45;3
47;3
53;3
58;1
59;0
63;-2
64;-3
67;-3
69;-3
69;-3
69;-3
69;-3
69;-3
69;-3
69;-3
73;-4
78;-12
80;-14
83;-20
87;-23
90;-26
95;-29
98;-29
99;-29
99;-29
99;-29
99;-29
99;-29
99;-29
99;-29
99;-32
99;-34
99;-38
99;-46
