time;x;y;fx;fy
63;120;-116;87;517
126;121;-112;87;517
189;121;-108;87;403
252;122;-104;87;403
315;122;-100;87;403
378;123;-92;0;403
441;123;-89;0;403
504;123;-85;0;117
567;123;-83;0;117
630;123;-83;0;117
693;123;-82;0;117
756;123;-81;0;117
819;123;-80;0;117
882;123;-77;0;191
945;123;-75;0;191
1008;123;-74;0;191
1071;123;-72;0;191
1134;123;-67;0;254
1197;123;-64;0;254
1260;123;-61;0;254
1323;123;-54;0;254
1386;123;-51;0;254
1449;123;-48;0;260
1512;123;-45;0;260
1575;123;-41;0;260
1638;123;-35;0;260
1701;123;-32;0;260
1764;123;-29;0;183
1827;123;-27;0;183
1890;123;-24;0;183
1953;123;-22;0;183
2016;123;-20;0;183
2079;123;-18;0;225
2142;123;-14;0;225
2205;123;-11;0;225
2268;123;-9;0;225
2331;123;-3;0;277
2394;123;0;0;277
2457;123;2;0;277
2520;123;5;0;277
2583;123;9;0;277
2646;123;15;0;255
2709;123;19;0;255
2772;123;22;0;255
2835;123;28;0;255
2898;123;32;0;255
2961;123;35;0;255
3024;123;37;-27;189
3087;123;40;-27;189
3150;123;42;-27;189
3213;123;43;-27;189
3276;123;46;-27;137
3339;123;47;-27;137
3402;123;48;-27;137
3465;123;49;-27;137
3528;123;50;-27;137
3591;123;51;-27;137
3654;123;54;-30;150
3717;123;55;-30;150
3780;123;56;-30;150
3843;123;58;-30;150
3906;123;60;-30;143
3969;123;61;-30;143
4032;123;62;-30;143
4095;123;64;-30;143
4158;123;65;-30;143
4221;123;66;-30;150
4284;123;69;-30;150
4347;123;70;-30;150
4410;123;71;-30;150
4473;123;72;-30;150
4536;123;74;-37;109
4599;123;75;-37;109
4662;123;75;-37;109
4725;123;76;-37;109
4788;123;77;-37;109
4851;123;78;-33;117
4914;123;79;-33;117
4977;123;80;-33;117
5040;123;81;-33;117
5103;123;82;-33;117
5166;123;84;-33;226
5229;123;87;-27;226
5292;123;89;-27;226
5355;123;94;-27;226
5418;123;97;-27;226
5481;123;99;-27;211
5544;123;101;-30;211
5607;123;103;-30;211
5670;123;107;-30;211
5733;123;109;-30;211
5796;123;111;-30;211
5859;123;112;-50;29
5922;123;112;-50;29
5985;123;112;-50;29
6048;123;112;-50;29
6111;123;112;-50;29
6174;123;112;-60;0
6237;123;112;-60;0
6300;122;112;-60;0
6363;122;112;-60;0
6426;122;112;-67;0
6489;121;112;-67;0
6552;121;112;-67;0
6615;121;112;-67;0
6678;120;112;-67;0
6741;120;112;-74;0
6804;120;112;-74;0
6867;119;112;-74;0
6930;119;112;-74;0
6993;119;112;-74;0
7056;118;112;-72;0
7119;118;112;-72;0
7182;118;112;-72;0
7245;117;112;-72;0
7308;117;112;-72;0
7371;117;112;-57;0
7434;116;112;-57;0
7497;116;112;-57;0
7560;116;112;-57;0
7623;116;112;-57;0
7686;115;112;-71;0
7749;115;112;-71;0
7812;115;112;-71;0
7875;114;112;-71;0
7938;114;112;-71;0
8001;114;112;-71;0
8064;113;112;-99;0
8127;112;112;-99;0
8190;112;112;-99;0
8253;111;112;-99;0
8316;111;112;-99;0
8379;107;112;-223;0
8442;105;112;-223;0
8505;102;112;-223;0
8568;100;112;-223;0
8631;95;112;-310;-41
8694;91;112;-310;-41
8757;87;112;-310;-41
8820;80;112;-310;-41
8883;76;112;-310;-127
8946;72;111;-355;-127
9009;64;109;-355;-127
