x;y
142;-122
142;-118
142;-114
142;-111
142;-103
142;-100
142;-96
142;-92
138;-88
130;-80
126;-75
115;-74
110;-74
106;-74
103;-74
99;-74
95;-74
87;-74
83;-74
76;-74
72;-74
68;-74
64;-74
60;-74
57;-74
53;-74
44;-71
40;-69
35;-67
27;-62
22;-60
19;-57
15;-53
12;-50
5;-43
1;-40
-1;-37
-8;-30
-12;-27
-15;-23
-22;-17
-25;-14
-29;-10
-36;-4
-39;0
-44;3
-48;8
-53;13
-58;17
-63;22
-72;30
-76;32
-81;35
-85;37
-94;41
-98;44
-101;47
-108;54
-112;57
-115;60
-119;64
-122;67
-131;73
-135;76
-140;79
-144;82
-154;85
-158;85
-162;85
-166;85
-173;85
-177;85
-179;85
-182;85
-184;85
-186;85
-189;89
-191;91
-194;95
-196;97
-198;98
-200;98
-201;98
-205;98
-206;98
-208;100
-209;103
-209;109
-209;113
-209;116
-209;118
-209;118
-209;118
-209;118
-209;118
-209;118
-209;118
-209;118
-209;118
-209;118
-209;118
-209;118
