time;x;y;fx;fy
63;120;-120;0;97
126;120;-120;0;97
189;120;-120;0;97
252;120;-118;0;188
315;120;-116;0;188
378;120;-111;0;188
441;120;-108;0;188
504;120;-105;0;188
567;120;-102;0;302
630;120;-95;0;302
693;120;-91;0;302
756;120;-88;0;302
819;120;-84;0;302
882;120;-75;0;271
945;120;-71;0;271
1008;120;-66;0;271
1071;120;-61;0;271
1134;120;-52;0;306
1197;120;-48;0;306
1260;120;-44;0;306
1323;120;-41;0;306
1386;120;-34;0;306
1449;120;-30;0;306
1512;120;-26;0;333
1575;120;-23;0;333
1638;120;-15;0;333
1701;120;-12;0;333
1764;120;-8;0;333
1827;120;-4;0;333
1890;120;2;0;303
1953;120;6;0;303
2016;120;9;0;303
2079;120;13;0;303
2142;120;20;0;296
2205;120;24;0;296
2268;120;27;0;296
2331;120;31;0;296
2394;120;38;0;296
2457;120;42;0;294
2520;120;46;0;294
2583;120;49;0;294
2646;120;53;0;294
2709;120;60;0;294
2772;120;64;0;253
2835;120;69;0;253
2898;120;79;0;253
2961;120;83;0;253
3024;120;88;0;253
3087;120;93;0;116
3150;120;95;0;116
3213;120;96;0;116
3276;120;98;0;116
3339;120;101;-29;202
3402;120;104;-29;202
3465;120;107;-29;202
3528;120;110;-29;202
3591;120;117;-29;202
3654;120;120;-36;217
3717;120;123;-36;217
3780;120;127;-36;217
3843;120;130;-36;217
3906;120;130;-36;217
3969;120;130;-36;217
4032;120;130;-27;96
4095;120;130;-27;96
4158;120;130;-27;96
4221;120;130;-27;96
4284;120;130;-27;96
4347;120;130;-26;49
4410;120;130;-26;49
4473;120;130;-26;49
4536;120;130;-26;49
4599;120;130;-26;49
4662;120;130;-68;0
4725;120;130;-68;0
4788;120;130;-68;0
4851;120;130;-68;0
4914;120;130;-68;0
4977;115;130;-206;0
5040;112;130;-206;0
5103;109;130;-206;0
5166;106;130;-206;0
5229;100;130;-289;-71
5292;96;130;-289;-71
5355;93;130;-289;-71
5418;85;130;-289;-71
5481;81;129;-289;-156
5544;77;127;-289;-156
5607;72;125;-154;-156
5670;70;122;-154;-156
5733;66;118;-154;-156
5796;64;116;-154;-324
5859;62;112;-154;-324
5922;60;107;0;-324
5985;60;100;0;-324
6048;60;96;0;-324
6111;60;93;0;-324
6174;60;86;0;-209
6237;60;83;-50;-209
6300;60;80;-50;-209
6363;60;76;-50;-209
6426;60;73;-50;-209
6489;60;69;-50;-130
6552;57;67;-195;-130
6615;54;66;-195;-130
6678;51;64;-195;-130
6741;46;61;-195;-118
6804;43;59;-195;-118
6867;39;58;-276;-118
6930;34;56;-276;-118
6993;24;53;-276;-118
7056;19;51;-276;-140
7119;15;49;-276;-140
7182;10;47;-242;-140
7245;2;43;-242;-140
7308;-1;41;-242;-140
7371;-4;39;-242;-223
7434;-10;32;-72;-223
7497;-10;29;-72;-223
7560;-10;26;-72;-223
7623;-10;22;-72;-223
7686;-10;19;-72;-142
7749;-10;15;-75;-142
7812;-10;13;-75;-142
7875;-10;11;-75;-142
7938;-10;7;-75;-93
8001;-10;7;-75;-93
8064;-10;7;-253;-93
8127;-14;7;-253;-93
8190;-22;7;-253;-93
8253;-26;7;-253;-93
8316;-30;6;-253;-138
8379;-35;4;-253;-138
8442;-45;0;-275;-138
8505;-49;-1;-275;-138
8568;-54;-3;-275;-138
8631;-59;-7;-275;-253
8694;-64;-16;-62;-253
8757;-64;-21;-62;-253
8820;-64;-26;-62;-253
8883;-64;-31;-62;-253
8946;-64;-38;-62;-213
9009;-64;-41;-39;-213
9072;-64;-45;-39;-213
9135;-64;-48;-39;-213
9198;-64;-54;-39;-141
9261;-64;-56;-39;-141
9324;-64;-58;-104;-141
9387;-64;-60;-104;-141
9450;-64;-64;-104;-141
9513;-64;-66;-104;-116
9576;-64;-67;-104;-116
9639;-65;-69;-160;-116
9702;-70;-72;-160;-116
9765;-72;-74;-160;-116
9828;-74;-75;-160;-147
9891;-79;-79;-160;-147
9954;-81;-81;-170;-147
10017;-83;-83;-170;-147
10080;-88;-87;-170;-137
10143;-91;-89;-170;-137
10206;-93;-91;-170;-137
10269;-96;-93;-233;-137
10332;-100;-95;-233;-137
10395;-104;-97;-233;-137
10458;-111;-99;-233;-102
10521;-115;-99;-233;-102
10584;-119;-99;-233;-102
10647;-123;-99;-152;-102
10710;-126;-99;-152;-102
10773;-128;-101;-152;-112
10836;-132;-104;-152;-112
10899;-133;-105;-44;-112
10962;-133;-107;-44;-112
11025;-133;-108;-44;-112
11088;-133;-109;-44;-49
11151;-133;-109;-44;-49
11214;-133;-109;0;-49
11277;-133;-109;0;-49
11340;-133;-109;0;-49
11403;-133;-109;0;-48
11466;-133;-109;0;-48
11529;-133;-109;0;-48
11592;-133;-109;0;-48
11655;-133;-109;0;-73
11718;-133;-109;0;-73
11781;-133;-109;0;-73
11844;-133;-109;0;-73
11907;-133;-109;0;-73
11970;-133;-109;0;-121
12033;-133;-111;0;-121
12096;-133;-113;0;-121
12159;-133;-114;0;-121
12222;-133;-118;0;-121
12285;-133;-119;58;-101
12348;-133;-119;58;-101
12411;-133;-119;58;-101
12474;-133;-119;58;-101
12537;-133;-119;58;-101
12600;-133;-119;332;-41
12663;-130;-119;332;-41
12726;-122;-119;332;-41
12789;-119;-119;332;-41
12852;-115;-119;332;-41
12915;-111;-119;332;-41
12978;-104;-119;435;-26
13041;-101;-119;435;-26
13104;-97;-119;435;-26
13167;-93;-119;435;-26
13230;-86;-119;402;0
13293;-82;-119;402;0
13356;-79;-119;402;0
13419;-75;-119;402;0
13482;-68;-119;402;0
13545;-64;-119;405;0
13608;-61;-119;405;0
13671;-57;-119;405;0
13734;-50;-119;405;0
13797;-46;-119;405;0
13860;-42;-119;420;0
13923;-39;-119;420;0
13986;-31;-119;420;0
14049;-28;-119;420;0
14112;-24;-119;420;0
14175;-20;-119;415;0
14238;-13;-119;415;0
14301;-9;-119;415;0
14364;-6;-119;415;0
14427;-2;-119;415;0
14490;4;-119;385;0
14553;8;-119;385;0
14616;11;-119;385;0
14679;15;-119;385;0
14742;22;-119;385;0
14805;26;-119;385;0
14868;30;-119;349;0
14931;33;-119;349;0
14994;41;-119;349;0
15057;44;-119;349;0
15120;48;-119;349;0
15183;52;-119;311;0
15246;59;-119;311;0
15309;63;-119;311;0
15372;66;-119;311;0
15435;70;-119;311;0
15498;74;-119;267;0
15561;84;-119;267;0
15624;88;-119;267;0
15687;93;-119;267;0
15750;102;-119;205;0
15813;105;-119;205;0
15876;108;-119;205;0
15939;112;-119;205;0
16002;118;-119;205;0
16065;121;-119;121;0
16128;122;-119;121;0
16191;126;-119;121;0
16254;127;-119;121;0
16317;129;-119;121;0
16380;130;-119;35;0
16443;130;-119;35;0
16506;130;-119;35;0
16569;130;-119;35;0
16632;130;-119;35;0
16695;130;-119;0;0
16758;130;-119;0;0
16821;130;-119;0;0
16884;130;-119;0;0
16947;130;-119;0;0
17010;130;-119;0;0
17073;130;-119;0;0
17136;130;-119;0;87
17199;130;-119;0;87
17262;130;-119;0;87
17325;130;-119;0;87
17388;130;-119;0;87
17451;130;-117;-48;456
17514;130;-110;-48;456
17577;130;-106;-48;456
17640;130;-102;-48;456
17703;130;-95;-107;443
17766;130;-91;-107;443
17829;130;-88;-107;443
17892;130;-84;-107;443
17955;130;-77;-107;443
18018;129;-75;-392;56
18081;125;-75;-392;56
18144;121;-75;-392;56
18207;113;-75;-392;56
18270;110;-75;-392;56
18333;106;-75;-392;0
18396;102;-75;-718;0
18459;94;-75;-718;0
18522;90;-75;-718;0
18585;86;-75;-718;0
18648;83;-75;-718;51
18711;75;-75;-585;51
18774;71;-75;-585;51
18837;67;-75;-585;51
18900;63;-75;-585;51
18963;55;-70;-494;359
19026;50;-65;-494;359
19089;45;-61;-494;359
19152;41;-56;-494;359
19215;31;-46;-494;359
19278;27;-43;-494;202
19341;24;-39;-479;202
19404;21;-36;-479;202
19467;14;-29;-479;202
19530;10;-26;-479;202
19593;7;-23;-479;202
19656;0;-16;-434;203
19719;0;-16;-434;203
19782;-6;-10;-434;203
19845;-9;-6;-434;203
19908;-16;0;-438;268
19971;-16;0;-438;268
20034;-23;6;-438;268
20097;-27;10;-438;268
20160;-34;16;-438;268
20223;-34;16;-438;268
20286;-41;24;-460;276
20349;-45;27;-460;276
20412;-52;35;-460;276
20475;-52;35;-460;276
20538;-60;42;-453;221
20601;-63;45;-453;221
20664;-70;52;-453;221
20727;-74;55;-453;221
20790;-77;58;-453;221
20853;-81;62;-385;144
20916;-85;64;-385;144
20979;-94;68;-385;144
21042;-98;70;-385;144
21105;-103;73;-385;144
21168;-107;75;-312;82
21231;-115;75;-312;82
21294;-118;75;-312;82
21357;-122;75;-312;82
21420;-126;75;-312;82
21483;-134;75;-264;90
21546;-138;75;-264;90
21609;-143;75;-264;90
21672;-147;75;-264;90
21735;-156;75;-264;90
21798;-159;78;-189;332
21861;-161;82;-189;332
21924;-166;91;-189;332
21987;-166;91;-189;332
