x;y
120;130
119;130
116;130
115;130
113;130
112;130
109;130
107;130
105;130
102;128
100;126
100;124
100;122
100;119
100;115
100;111
100;107
100;100
100;96
100;94
100;92
99;90
94;87
91;85
89;84
86;84
82;84
79;84
77;84
75;83
71;78
71;75
71;73
71;70
71;64
71;61
69;57
66;51
64;48
62;47
60;47
58;47
53;47
51;47
49;46
46;44
46;41
46;40
46;38
46;36
46;31
46;29
46;26
46;23
46;23
43;23
36;23
32;23
28;23
25;23
22;23
22;23
22;23
22;22
22;19
22;17
18;12
16;9
14;7
12;4
8;0
7;-1
5;-3
2;-7
0;-8
-1;-10
-3;-12
-4;-13
-8;-17
-10;-19
-11;-20
-13;-22
-17;-26
-19;-27
-20;-29
-22;-30
-26;-33
-28;-35
-30;-36
-34;-40
-35;-41
-37;-43
-39;-45
-42;-48
-44;-50
-45;-51
-47;-53
-51;-55
-52;-55
-54;-55
-56;-55
-58;-55
-62;-55
-64;-55
-66;-55
-69;-55
-71;-55
-73;-55
-75;-55
-78;-61
-78;-65
-78;-68
-78;-71
-78;-77
-78;-80
-79;-83
-82;-88
-84;-90
-86;-91
-87;-91
-88;-91
-88;-91
-88;-91
-88;-92
-88;-95
-88;-97
-91;-101
-93;-103
-94;-105
-97;-108
-97;-110
-97;-112
-97;-115
-97;-115
-97;-115
-99;-115
-103;-115
-105;-115
-107;-115
-109;-115
-109;-115
-109;-115
-109;-115
-109;-115
-109;-115
-109;-115
-109;-115
-109;-115
-109;-115
-109;-115
